id,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
0,0.87396355,1.08543233,-1.55651614,1.41887131,0.68539428,1.55452514,-1.54032922,1.12580114,1.15270312,0.88317527,0.13567763,1.07907678,0.84290705,1.9068365,-0.71664976,-1.61049453,0.25393779,-1.32207525,-0.25879027,1.13868065,0
1,-0.65659817,-1.19381982,1.57512254,-0.14671743,1.40094397,-1.88295316,1.30693376,0.03555793,0.96772641,-1.72758122,1.97270007,0.96771907,-0.09843369,1.36061963,0.23436465,-1.45634818,0.94609577,-0.05995596,0.01039574,-1.6174332,0
2,1.99434574,0.94714337,0.34774206,-0.26592096,-1.01956947,-0.52252457,-1.91760274,1.76659183,1.13149853,0.86310224,1.74512954,-1.20782224,-1.68860973,1.75849654,1.83565929,-0.17843225,0.69026745,-1.69170314,0.91682362,0.01187654,1
3,0.85926687,-0.9205855,0.22129411,1.61006972,0.70422551,0.26460539,-0.66144663,-0.00773567,-0.57878465,-0.86555623,-0.36513818,-1.13610419,-1.43226901,-0.5304833,-1.84841507,0.35788299,0.71274583,-1.62533165,-1.73881475,-1.07934064,0
4,0.30003887,-0.77570723,1.31009924,-0.97536239,-1.39352506,-0.37796311,-0.53198702,-1.0084997,1.82704037,-0.84488674,0.9256622,0.08237821,-1.05547089,1.3785591,1.79377399,1.84819353,1.84598391,1.76001347,0.13978598,-1.03969346,0
5,0.65114897,-1.00454083,-0.84449453,1.77697361,-1.53523076,-0.71107331,-1.19468721,1.45250505,-1.16919574,-0.49409152,1.62478237,1.46188453,1.56480245,-1.65059824,-1.39532981,1.43089888,1.79496583,1.42957664,0.25242095,1.11688583,1
6,-0.74979395,-0.39598543,-0.82372949,-1.3151842,-0.98961041,-0.82928822,-0.89490291,0.16299999,-1.00179524,0.81221168,1.02918806,-0.20574541,0.44529646,1.9287528,-1.46177102,-0.88651634,-1.16231447,-1.17247115,0.0683886,0.89883379,1
7,-1.62501981,1.87569016,1.08109738,-1.74723153,1.77577718,0.73594181,0.85090627,0.79127575,-0.63098692,0.73803974,-0.06281908,1.31000991,0.93601173,-0.741403,1.10101991,-1.29140546,-0.05975893,1.63850254,0.74846529,0.64555798,1
8,1.4131331,-0.79177973,0.70265222,-0.1373665,0.60292416,-1.46211627,1.58863148,-0.26372398,-1.85762561,0.83803502,1.36022235,-1.44664169,-0.42663679,-1.66999003,-1.89737112,0.75687046,-1.84982293,-0.75547696,0.2456904,0.30567217,0
9,1.04223696,-0.17172121,-0.22314451,-0.08986496,0.07597715,-0.58052888,1.07460623,0.44532548,0.64738876,1.59139981,-1.97462862,-1.72020774,0.37354067,1.95144098,1.5972835,-1.60920872,0.11659109,-0.13119458,1.42477154,-1.77021777,0
10,-1.85212795,-1.00940225,0.44173114,1.9773653,-0.49487339,0.89411574,1.29969581,1.68394194,1.65911383,-1.07508093,-0.471139,1.86173111,1.0594068,-1.83356286,1.223733,1.35341828,1.44524221,0.55538466,0.25770966,0.82361423,0
11,1.63394233,1.06370832,0.68819814,1.99287566,-0.92459234,-1.9207978,-0.4683424,1.48269905,-1.21480152,-0.71755755,0.19627851,0.98886972,0.86604662,-1.77422333,1.44776331,-1.79439455,-0.76951874,1.79092709,-0.95612639,1.79247601,0
12,0.58905595,-0.05899914,0.78705638,-1.16883134,1.36881728,1.50311437,1.76617381,-0.79780994,1.49481977,-0.1917888,-1.39787072,-1.66150023,0.46567705,0.48535723,0.77759917,-1.27608578,1.13865018,1.06139046,1.27204453,0.58843508,1
13,0.58991752,-1.5846938,1.09812865,1.26142937,-1.09210009,0.92706744,-1.32758698,-0.01661593,0.83517203,0.65499641,1.40218131,-0.27220966,-1.78413216,-1.52463454,1.36020588,-0.36269849,-1.47811084,-0.39106298,-0.01877825,0.37905562,1
